sno,firstname,lastname,gender,dob,personphone,city,statename,zip,primarylanguage,primaryocc,maxeducationlevel,maritalstatus,productcategory,annualincome,leadquality,datecreated
90,Ruby,Martinez,female,1940-01-21,5456069211,Martinfurt,Oklahoma,94588,English,Salaried,Undergraduate,Married,Home Insurance,51000,Best,
91,Timothy,Pompa,male,1990-07-19,2477502119,Gabriellestad,Ohio,38260,English,Salaried,Doctorate,Unmarried,Disability Insurance,81000,Poor,
92,Virgina,Hardison,female,1955-09-10,3069380420,North Latoya,Montana,12757,English,Self employed,Elementary school,Married,Life Insurance,14000,Average,
93,Van,Frizzell,female,1943-11-18,9532103406,East Nataliefurt,Georgia,33383,English,Unemployed,Elementary school,Married,Disability Insurance,1000,Best,
94,Kyle,Parvin,male,1983-12-27,7678553628,Lake Justin,Indiana,89141,English,Salaried,Postgraduate,Married,Home Insurance,77000,Average,
95,Norman,Tarango,male,1988-10-28,3296439116,Russellshire,Montana,25166,English,Self employed,Secondary school,Married,Life Insurance,11000,Average,
96,Ralph,Cobbins,male,1955-01-09,3769257546,Port Calvin,Hawaii,95984,English,Business,Postgraduate,Married,Disability Insurance,81000,Poor,
97,Jennifer,Soto,female,1952-01-25,1405102642,North Steven,Kentucky,89837,English,Salaried,Undergraduate,Married,Life Insurance,52000,Best,
98,Warren,Shetlar,not specified,1942-09-06,9533990854,Fordfort,Oklahoma,26338,English,Self employed,Secondary school,Widowed,Auto Insurance,32000,Best,
99,Sook,Ayers,female,1984-02-17,2530775650,North Linda,Wyoming,12415,English,Unemployed,Elementary school,Widowed,Auto Insurance,1000,Poor,
100,Yolanda,Marquez,female,1942-01-31,4367899035,Andradetown,Wyoming,87637,English,Salaried,Doctorate,Married,Disability Insurance,74000,Average,
101,Mark,Dutcher,male,1974-09-13,9808944091,South Ryanville,Texas,1170,English,Business,Postgraduate,Married,Home Insurance,83000,Average,
102,Randall,Nowden,male,1991-02-26,1762323928,Sethville,North Carolina,82086,English,Salaried,Undergraduate,Unmarried,Auto Insurance,68000,Poor,
103,Stanley,Vanhandel,male,1963-07-25,1842017387,Seanside,Florida,82842,English,Business,Postgraduate,Married,Home Insurance,83000,Best,
104,Ruby,Merriweather,female,1966-07-20,2327259557,Micheleburgh,Washington,22942,English,Salaried,Undergraduate,Divorced,Life Insurance,61000,Average,
105,Jerry,Powers,not specified,1960-06-07,6669452136,East Benjaminside,Virginia,71122,English,Self employed,Secondary school,Divorced,Auto Insurance,7000,Poor,
106,William,Porter,male,1967-01-24,3189904547,Lake Joshuaton,Tennessee,95304,English,Business,Postgraduate,Divorced,Life Insurance,80000,Poor,
107,Sarah,Goodwin,female,1953-05-02,8649152896,Brockport,Wisconsin,49425,English,Business,Postgraduate,Married,Home Insurance,86000,Best,
108,Karen,Lee,female,1966-02-09,4622223669,Woodsfurt,Massachusetts,54082,English,Salaried,Doctorate,Divorced,Disability Insurance,48000,Poor,
109,Charles,Stewart,male,1977-04-17,5140770904,West Robin,Oklahoma,66347,English,Salaried,Undergraduate,Married,Auto Insurance,83000,Average,
110,Rene,Woods,male,1960-10-20,2343449547,Kylestad,Maryland,85053,English,Salaried,Undergraduate,Widowed,Auto Insurance,86000,Average,
111,Adam,Peterson,male,1979-01-08,9517397283,Lake Travis,Utah,61704,English,Salaried,Doctorate,Widowed,Home Insurance,56000,Best,
112,Marlin,Todd,male,1949-02-05,7487519579,North Kathleenborough,Mississippi,99426,English,Business,Postgraduate,Married,Auto Insurance,75000,Best,
113,Linda,Boykin,female,1993-10-10,6792304595,Garrettburgh,Ohio,83008,English,Self employed,Secondary school,Unmarried,Disability Insurance,32000,Average,
114,James,Eastman,male,1991-08-17,3630722610,Maryville,New Mexico,74398,English,Self employed,Secondary school,Unmarried,Life Insurance,33000,Poor,
115,Adam,Peterson,male,1979-01-08,9517397283,Lake Travis,Utah,61704,English,Salaried,Doctorate,Widowed,Life Insurance,56000,Best,
116,Vernie,Phillips,female,1984-04-26,6818676372,Mcknightport,Tennessee,99876,English,Salaried,Doctorate,Widowed,Home Insurance,66000,Average,
117,Diane,Wagner,female,1998-04-07,7785923557,Richardmouth,Indiana,56803,English,Salaried,Undergraduate,Unmarried,Home Insurance,41000,Average,
118,Jessie,Portillo,male,1955-12-08,2217958531,Port Jamie,South Dakota,49993,English,Salaried,Secondary school,Widowed,Auto Insurance,70000,Best,
119,Thomas,Deal,male,1975-04-02,8482763945,West Destiny,Oregon,43383,English,Business,Postgraduate,Widowed,Disability Insurance,90000,Poor,
120,Julie,Nasers,female,1944-10-22,3580452119,Jasmineport,Alaska,25770,English,Salaried,Postgraduate,Widowed,Auto Insurance,71000,Poor,
121,Nicholas,Glenn,male,1942-04-25,1054508697,Riverafort,Wisconsin,41555,English,Salaried,Undergraduate,Married,Auto Insurance,80000,Best,
122,David,Woods,male,1945-02-06,3580865753,West Cynthia,North Dakota,73488,English,Business,Postgraduate,Widowed,Auto Insurance,69000,Poor,
123,Dorothy,Mock,female,1990-02-09,9757557518,East Lisafort,Louisiana,85108,English,Self employed,Secondary school,Married,Life Insurance,1000,Poor,
124,James,Savage,male,1978-08-14,3714786910,West Williamton,New Hampshire,19566,English,Business,Postgraduate,Married,Disability Insurance,91000,Poor,
125,Kenneth,Andreasen,male,1992-03-24,6595211843,North Catherine,California,46718,English,Salaried,Undergraduate,Unmarried,Home Insurance,65000,Average,
126,Kimberlie,Buford,female,1964-06-02,8737720538,Sarahchester,Rhode Island,44937,English,Business,Postgraduate,Divorced,Life Insurance,98000,Best,
127,Shannon,Gant,female,1941-10-05,3452373896,Davidbury,Connecticut,95934,English,Unemployed,Secondary school,Widowed,Life Insurance,1000,Average,
128,Bertha,Summey,female,1995-08-12,4653985129,East Andrewport,West Virginia,54292,English,Salaried,Doctorate,Married,Life Insurance,88000,Best,
129,Peter,Batton,male,1979-02-13,8963310848,East Katelyn,Louisiana,46121,English,Salaried,Undergraduate,Widowed,Home Insurance,66000,Average,
130,Dale,Keister,male,1975-04-01,2942184273,West Andrewchester,Nebraska,22855,English,Salaried,Undergraduate,Married,Disability Insurance,58000,Average,
131,Evelyn,Redmond,female,1985-01-12,1199186347,West Vincent,Delaware,56372,English,Salaried,Undergraduate,Widowed,Life Insurance,67000,Average,
132,Robbie,Pante,male,1988-02-15,5980223423,Michaelside,Ohio,70050,English,Business,Postgraduate,Married,Home Insurance,92000,Best,
133,Dorothea,Duque,female,1942-08-27,6311660920,West Ruth,Massachusetts,1088,English,Salaried,Undergraduate,Married,Home Insurance,85000,Average,
134,Joyce,Fowler,female,1989-03-11,7131955479,Davidsonmouth,Hawaii,82462,English,Salaried,Doctorate,Divorced,Home Insurance,74000,Best,
135,Gary,Rolon,male,1996-05-12,2101274423,Aaronmouth,Kentucky,99440,English,Business,Postgraduate,Unmarried,Auto Insurance,67000,Average,
136,Cynthia,Hardy,female,1991-04-23,3054763533,East Christophershire,Montana,31088,English,Salaried,Undergraduate,Unmarried,Home Insurance,85000,Average,
137,Lenna,Parton,female,1989-10-04,3495322406,New Destiny,Arkansas,14292,English,Business,Postgraduate,Unmarried,Home Insurance,89000,Best,
138,Bertha,Summey,female,1995-08-12,4653985129,East Andrewport,West Virginia,54292,English,Salaried,Doctorate,Married,Auto Insurance,88000,Best,
139,Arlene,Morales,female,1986-01-15,6249875165,Aaronville,Arizona,64338,English,Salaried,Undergraduate,Widowed,Home Insurance,47000,Poor,
140,Gwendolyn,Lundgren,female,1996-03-12,1496500157,Pattonfort,Florida,94666,English,Salaried,Doctorate,Married,Life Insurance,44000,Average,
141,Kim,Valentine,female,1997-12-03,4177189500,Brucefurt,Tennessee,14089,English,Self employed,Secondary school,Unmarried,Life Insurance,5000,Best,
142,Adeline,Dunn,female,1998-04-19,6262331778,Molinafort,Massachusetts,7603,English,Self employed,Elementary school,Unmarried,Life Insurance,23000,Poor,
143,Adam,Stahlhut,male,1956-08-06,8964851951,Port Tanya,South Dakota,33468,English,Self employed,Secondary school,Married,Life Insurance,25000,Average,
144,Michael,Keener,male,1958-12-15,3948455774,Caldwellstad,California,27289,English,Self employed,Elementary school,Married,Home Insurance,9000,Average,
145,Rita,Killough,female,1942-08-03,3679084622,New Williamtown,Washington,741,English,Salaried,Doctorate,Married,Home Insurance,68000,Poor,
146,Cory,Medina,male,1986-01-14,6933563265,East Charlesbury,Michigan,16911,English,Salaried,Undergraduate,Married,Life Insurance,56000,Poor,
147,Jade,Sofranko,female,1963-11-02,6392734967,Troychester,Texas,76888,English,Business,Postgraduate,Widowed,Disability Insurance,85000,Best,
148,Lorraine,Linton,female,1992-07-22,3956643118,Port Chad,Minnesota,29540,English,Salaried,Undergraduate,Unmarried,Home Insurance,60000,Average,
149,Joshua,Walraven,male,1993-03-03,9862616329,Solisland,New York,39032,English,Self employed,Secondary school,Unmarried,Life Insurance,27000,Average,
150,Petra,Eastman,female,1991-12-24,5828781993,Lake Wayne,North Dakota,15747,English,Business,Postgraduate,Married,Disability Insurance,88000,Best,
151,Joseph,Brown,male,1998-05-15,8589881958,Johnsonfort,Missouri,1266,English,Salaried,Doctorate,Married,Disability Insurance,43000,Poor,
152,Wendell,Bob,male,1998-06-15,8278927905,North Alyssahaven,Pennsylvania,897,English,Salaried,Undergraduate,Unmarried,Life Insurance,78000,Poor,
153,Richard,Wilson,male,1945-02-21,7457336241,Robertville,Washington,22284,English,Salaried,Secondary school,Married,Auto Insurance,10000,Best,
154,Patricia,Hoerner,female,1948-10-21,5861426000,Lake Matthew,Massachusetts,34737,English,Self employed,Secondary school,Widowed,Auto Insurance,9000,Poor,
155,Thomas,Chase,male,1960-08-09,2807203582,Gregoryview,Wisconsin,47465,English,Salaried,Postgraduate,Divorced,Life Insurance,85000,Poor,
156,Rita,Killough,female,1942-08-03,3679084622,New Williamtown,Washington,741,English,Salaried,Doctorate,Married,Auto Insurance,68000,Poor,
157,Salvatore,Shaver,male,1981-08-17,3277342000,South Courtney,Texas,96204,English,Salaried,Doctorate,Divorced,Life Insurance,41000,Average,
158,Roberta,Young,female,1947-05-05,7323678667,Lake Karen,Washington,33153,English,Self employed,Secondary school,Married,Home Insurance,31000,Average,
159,Miguel,Martin,male,1972-04-02,8962458481,West Mary,West Virginia,11676,English,Self employed,Secondary school,Divorced,Life Insurance,9000,Average,
160,William,Melton,male,1952-08-01,4405717996,Ryanborough,Maine,1006,English,Salaried,Undergraduate,Married,Life Insurance,84000,Poor,
161,Tim,Lucas,male,1944-03-03,3532792798,Michaelton,Rhode Island,11621,English,Salaried,Doctorate,Married,Auto Insurance,57000,Best,
162,Michael,Rodgers,male,1955-05-04,3723204460,Collinsville,Kentucky,93201,English,Salaried,Undergraduate,Divorced,Life Insurance,88000,Poor,
163,Corey,Schwab,male,1990-06-12,8233770317,Lake Claire,Iowa,18965,English,Salaried,Postgraduate,Married,Life Insurance,45000,Best,
164,Yolanda,Marquez,female,1942-01-31,4367899035,Andradetown,Wyoming,87637,English,Salaried,Doctorate,Married,Home Insurance,74000,Average,
165,Ron,Cooper,male,1976-11-04,2830362260,North Danielstad,Alabama,46124,English,Salaried,Undergraduate,Married,Disability Insurance,65000,Poor,
166,Sarah,Goodwin,female,1953-05-02,8649152896,Brockport,Wisconsin,49425,English,Business,Postgraduate,Married,Home Insurance,86000,Best,
167,Jared,Pitt,male,1961-01-14,1590965091,East Cameronstad,Delaware,11992,English,Salaried,Undergraduate,Married,Home Insurance,76000,Average,
168,Raymond,Hayes,male,1944-04-14,8031663672,Mccormickton,Kansas,78865,English,Self employed,Secondary school,Widowed,Home Insurance,26000,Poor,
169,Daniel,Alvarado,male,1979-05-10,6763577491,East Kennethside,North Carolina,28480,English,Self employed,Elementary school,Divorced,Life Insurance,1000,Average,
170,Diane,Rounds,female,1983-03-21,3886685111,South Taramouth,Washington,74425,English,Salaried,Doctorate,Divorced,Disability Insurance,54000,Best,
171,Teresa,Matusz,female,1993-02-10,6554748189,West Gabrielaberg,Virginia,60130,English,Business,Postgraduate,Unmarried,Home Insurance,79000,Poor,
172,Ralph,Kenkel,male,1996-12-05,4166990847,Colleenberg,Iowa,71017,English,Unemployed,Secondary school,Unmarried,Auto Insurance,1000,Best,
173,Beverly,Parker,female,1966-03-15,1484298860,Port Morgan,Nebraska,49899,English,Salaried,Doctorate,Married,Disability Insurance,60000,Poor,
174,Michelle,Melancon,female,1959-06-25,5983405545,New Laurenchester,Arkansas,21348,English,Business,Postgraduate,Widowed,Life Insurance,71000,Poor,
175,Sarah,Goodwin,female,1953-05-02,8649152896,Brockport,Wisconsin,49425,English,Business,Postgraduate,Married,Auto Insurance,86000,Best,
176,Aaron,Leversee,male,1950-05-03,7902429026,East Todd,Maryland,98595,English,Salaried,Postgraduate,Married,Auto Insurance,60000,Poor,
177,Shonna,Wright,female,1954-08-01,3951422831,Earlmouth,Alabama,27426,English,Business,Postgraduate,Married,Home Insurance,84000,Average,
178,Adeline,Dunn,female,1998-04-19,6262331778,Molinafort,Massachusetts,7603,English,Self employed,Elementary school,Unmarried,Life Insurance,23000,Poor,
179,Daniel,Pacheco,male,1991-03-18,9556233803,Brianburgh,Virginia,66699,English,Salaried,Undergraduate,Unmarried,Life Insurance,69000,Average,
180,Wilford,Skelley,male,1945-06-02,7424223780,Lake Kathyview,Oklahoma,21891,English,Salaried,Doctorate,Married,Disability Insurance,85000,Best,
181,Julie,Nasers,female,1944-10-22,3580452119,Jasmineport,Alaska,25770,English,Salaried,Postgraduate,Widowed,Life Insurance,71000,Poor,
182,Catherine,Cooper,female,1971-12-01,5221355898,Kiddfort,Kansas,4221,English,Self employed,Secondary school,Married,Home Insurance,8000,Best,
183,Jill,Schroot,female,1971-01-29,7376896838,Stevenville,Vermont,89808,English,Self employed,Secondary school,Widowed,Home Insurance,34000,Average,
184,Lisa,Tillis,female,1990-02-21,7989737931,Nguyenstad,California,19474,English,Self employed,Elementary school,Unmarried,Disability Insurance,3000,Best,
185,Christopher,Dancer,male,1941-04-06,7454009774,Benjaminstad,Alabama,72398,English,Self employed,Elementary school,Married,Life Insurance,10000,Poor,
186,Jeffery,Braley,male,1996-06-20,1488589953,East Kimberlymouth,Nebraska,13034,English,Salaried,Undergraduate,Unmarried,Home Insurance,54000,Poor,
187,Hayley,Peterson,female,1943-06-19,8803866126,Lake Kara,Tennessee,45070,English,Self employed,Elementary school,Divorced,Disability Insurance,35000,Average,
188,Tyler,Ortega,male,1943-11-27,9874738213,Richardsonport,Mississippi,83645,English,Salaried,Undergraduate,Widowed,Life Insurance,62000,Average,
